Postalcode,Borough,Neighborhood,Latitude,Longitude
M4E,East Toronto,The Beaches,43.678148,-79.295349
M4K,East Toronto,"The Danforth West, Riverdale",43.683424,-79.354564
M4L,East Toronto,"India Bazaar, The Beaches West",43.668291,-79.315578
M4M,East Toronto,Studio District,43.648,-79.33926
M4N,Central Toronto,Lawrence Park,43.729455,-79.386415
M4P,Central Toronto,Davisville North,43.713171,-79.38887
M4R,Central Toronto,North Toronto West,43.714139,-79.406456
M4S,Central Toronto,Davisville,43.703327,-79.385649
M4T,Central Toronto,"Moore Park, Summerhill East",43.690328,-79.383522
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest...",43.686378,-79.402372
M4W,Downtown Toronto,Rosedale,43.681893,-79.376706
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667656,-79.367326
M4Y,Downtown Toronto,Church and Wellesley,43.666659,-79.381472
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.650964,-79.353041
M5B,Downtown Toronto,"Garden District, Ryerson",43.657491,-79.377529
M5C,Downtown Toronto,St. James Town,43.651734,-79.375554
M5E,Downtown Toronto,Berczy Park,43.645196,-79.373855
M5G,Downtown Toronto,Central Bay Street,43.656072,-79.385653
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.650542,-79.384116
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.62375,-79.3692
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.646923,-79.381626
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.648283,-79.37875
M5N,Central Toronto,Roselawn,43.710634,-79.418748
M5P,Central Toronto,Forest Hill North & West,43.69446,-79.41028
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.674911,-79.40394
M5S,Downtown Toronto,"University of Toronto, Harbord",43.663281,-79.398088
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.653497,-79.39741
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Har...",43.640539,-79.397435
M5W,Downtown Toronto,Stn A PO Boxes,43.6487,-79.38545
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.648269,-79.381884
M6G,Downtown Toronto,Christie,43.668602,-79.420387
M6H,West Toronto,"Dufferin, Dovercourt Village",43.66491,-79.438664
M6J,West Toronto,"Little Portugal, Trinity",43.648636,-79.417752
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639922,-79.43124
M6P,West Toronto,"High Park, The Junction South",43.65872,-79.46315
M6R,West Toronto,"Parkdale, Roncesvalles",43.64784,-79.448388
M6S,West Toronto,"Runnymede, Swansea",43.649725,-79.482692
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.66179,-79.38939
M7Y,East Toronto,Business reply mail Processing Centre,43.6487,-79.38545
